word,count
aquileians,1
aquitaine,3
arab,5
arabia,11
arabian,1
arabians,1
arable,2
arabs,8
araxes,2
arbitrary,9
arbitration,1
arch,2
archer,2
archers,6
arches,6
archimagus,1
archipelago,1
architects,2
architecture,9
ardent,2
ardor,11
ardshir,1
arduous,8
arena,2
areopagus,1
argonauts,1
argos,2
argued,2
argument,5
argumentative,1
argumentone,1
arguments,6
arian,1
aricia,1
arii,2
arisen,8
aristides,1
aristobulus,1
aristocracy,4
aristotle,6
ark,1
arles,5
arm,10
armament,4
armed,22
armenia,29
armenian,6
armenians,1
armentarius,1
armies,69
arming,1
arminius,1
armor,13
armorer,1
arms,215
army,195
armygeneral,2
aromatics,4
arose,9
arpinum,1
arragon,1
arraign,2
arraigned,4
arraigns,2
arranged,1
arrangement,5
arrangements,1
arranges,1
arras,1
array,2
arrayed,3
arrears,2
arrius,2
arrival,13
arrived,13
arrogance,2
arrogant,1
arrogantly,2
arrow,1
arrows,7
arsaces,3
arsacides,3
arsenals,2
art,43
artaban,2
artavasdes,2
artaxerxes,25
artemon,1
artful,23
artfully,9
article,8
articles,9
artifice,3
artificers,1
artifices,3
artificial,22
artificially,1
artillery,1
artist,6
artists,2
artless,2
arts,83
arzanene,1
asburg,1
ascend,4
ascendant,6
ascended,17
ascending,1
ascent,4
ascertain,3
ascertained,3
asceticism,1
ascetics,1
asclepiodatus,3
ascribe,10
ascribed,24
ascribes,1
asgard,1
ashamed,2
ashes,3
asia,99
asiatic,8
asked,6
askenaz,1
asmonan,1
asof,1
aspalathus,1
aspect,8
aspersions,1
aspire,3
aspired,5
aspiring,16
asprudus,1
assailants,1
assailed,5
assassin,8
assassinated,5
assassination,3
assassins,8
assault,5
assaulted,3
assaults,2
assemble,3
assembled,15
assemblies,10
assembly,46
assent,2
assert,16
asserted,31
asserting,2
assertion,2
assertions,3
asserts,1
assessed,2
assessment,2
assiduous,2
assign,3
assigned,7
assigning,1
assigns,2
assist,5
assistance,18
assisted,13
assisting,1
associate,9
associates,9
associatespart,5
associating,2
association,4
associations,2
assuage,4
assuaged,1
assume,23
assumed,51
assumes,2
assuming,9
assurance,10
assurances,5
assure,2
assured,24
assuredly,3
assuring,1
assyria,5
assyrian,1
assyrians,1
astarte,1
astonished,8
astonishing,1
astonishment,7
astrology,1
astronomy,2
asturia,1
asturians,1
asturias,1
asunder,5
asylum,1
ate,1
atheist,1
athenian,5
athens,23
athos,2
atlantic,3
atlantis,1
atlas,4
atrium,1
atrocious,5
atropatene,1
attached,7
attachment,12
attachments,1
attack,19
attacked,20
attacks,7
attain,2
attained,11
attainment,1
attempt,18
attempted,38
attempting,3
attempts,9
attend,5
attendance,3
attendant,1
attendants,3
attended,35
attending,1
attention,39
attentive,9
attentively,1
attest,6
attested,10
attests,3
atticus,6
attila,1
attitude,1
attract,4
attracted,14
attraction,1
attractions,2
attractive,3
attribute,3
attributed,8
attributes,7
auction,4
audaciously,1
audience,9
augmented,3
augsburg,1
augurs,1
august,3
augusta,3
augustan,2
augusti,4
augustus,109
aurelian,95
aurelianreigns,1
aurelians,3
aurelius,3
aureolus,8
auspicious,5
austere,5
austerity,4
austria,3
austrian,2
authentic,9
authenticity,1
author,18
authorities,2
authority,132
authorized,7
authorizing,2
authors,11
autumn,3
autumnal,1
autun,5
auxiliaries,19
avail,1
avarice,27
avenged,3
avenger,2
avenging,1
avenue,1
avenues,1
averse,5
aversion,8
avert,1
avidius,1
avoid,1
avoided,3
avoiding,1
avowed,5
awaited,2
awaiting,1
awake,1
awaken,3
awakened,7
awe,3
awed,3
awful,10
awkward,2
awoke,1
axes,1
babel,1
babylon,5
babylonian,3
babylonians,1
bacchanals,1
bacchus,3
backs,2
bacon,2
bactriana,1
bad,1
badge,1
badges,1
badness,1
baffled,2
bag,2
bagaud,1
bagavan,1
baggage,3
bahram,1
bai,2
balance,10
balanced,3
balbinus,15
balch,2
baldness,1
baleares,1
balist,1
balista,1
baltic,9
band,8
banditti,2
bands,9
banish,2
banished,9
bank,6
banks,51
banner,7
banners,7
banquet,1
baptism,5
baptist,1
baptized,1
bar,3
barbarian,35
barbarians,179
barbarianspart,4
barbariansthe,2
barbariansthese,1
barbariansthough,1
barbaric,5
barbarism,6
barbarous,11
barca,1
bards,3
bareheaded,1
bargain,1
barks,2
barley,2
barren,7
barrenness,1
barrier,6
bas,1
basely,1
baseness,3
baser,1
basest,1
basil,1
basileus,1
basilica,1
basilidians,1
basin,1
basis,6
bassianus,6
bastarn,5
batavian,4
batavians,3
bath,3
bathed,1
baths,16
battered,1
battering,1
battle,47
battles,8
bavaria,1
bay,2
beams,1
beand,1
bear,9
beard,1
bearing,3
bears,5
beast,2
beastly,1
beasts,14
beaten,1
beau,2
beaus,1
beauteous,2
beauties,3
beautiful,18
beauty,16
beauvais,1
bed,5
bedchamber,2
bede,1
beds,1
beech,1
beehives,1
beer,1
began,17
beget,1
beggars,2
begged,2
begun,2
behalf,1
behaved,1
behavior,12
behaviour,1
beheaded,2
beheld,17
behold,6
beholding,2
beings,5
belenus,1
belg,1
belgic,3
belief,9
believed,6
believer,3
believers,6
believing,4
belonged,7
beloved,7
belt,1
bench,1
bended,1
bender,1
beneath,7
benefactor,16
benefactors,3
beneficence,1
beneficent,5
beneficial,11
benefit,27
benefited,1
benefits,5
benevolence,8
benevolencethe,1
benevolent,5
benign,1
benonia,1
bentinck,3
bequeathed,8
bera,1
berea,1
bernard,1
besieged,11
besiegers,5
besieging,1
bestow,10
bestowed,42
bestowing,3
bestows,1
betray,3
betrayed,25
betrays,3
betwixt,1
bewailed,1
beware,1
bias,3
biblioth,1
bid,1
bidder,1
big,1
bigotry,2
bind,2
biographers,1
birth,46
birthday,1
birthplace,1
biscay,1
bishop,15
bishops,25
bithynia,14
bitter,1
bitterness,3
black,8
blackened,1
blackest,1
blade,1
blame,1
blameless,2
blandishments,1
blasted,1
blaze,1
blazed,3
blazoned,1
bleeding,1
blemmyes,5
blend,1
blended,6
blends,1
blessing,2
blessings,5
blew,1
blind,11
blinded,1
blindly,1
blissful,2
blood,51
bloody,25
blow,8
blowing,1
blows,3
blue,1
blunt,2
blush,5
blushed,7
blushing,1
boadicea,1
boar,1
board,2
boars,1
boast,9
boasted,2
bodies,17
body,91
bodyguards,1
boeotia,1
bogs,1
bohemia,1
bold,9
boldest,3
boldly,9
boldness,5
bolts,1
bond,1
bonds,3
bonne,1
bonosus,1
bony,1
book,3
books,9
boots,1
booty,12
borani,1
bordered,1
borderers,2
bordering,1
bore,5
born,13
borne,1
borrow,1
borrowed,6
borysthenes,7
bosnia,1
bosom,11
bosomthe,1
bosphorus,21
boulogne,7
bound,6
boundaries,6
boundary,7
bounded,3
boundless,1
bounds,10
bountiful,1
bounty,2
bourdeaux,1
bow,2
bowels,1
bowstring,1
boy,4
boys,3
brabant,1
bracelets,2
branch,10
branches,8
branded,5
brandished,1
brass,2
brave,19
braved,2
bravely,1
bravery,6
bravest,13
bread,2
breadth,10
break,8
breaking,1
breaks,1
breast,5
breastplate,1
breasts,3
breath,2
breathe,1
bred,1
breed,1
breeze,1
breezes,1
brescia,1
brethren,19
brevity,1
bribe,1
brick,2
bride,1
bridge,8
bridged,1
bridges,2
bridle,1
brigades,1
brigantes,1
brigantines,1
bright,2
brightest,3
brimstone,1
bring,3
brink,1
britain,49
british,11
britons,3
brittle,1
broad,6
broadest,1
broke,26
broken,16
brooding,1
brook,3
brosset,1
brother,25
brotherinlaw,2
brothers,12
brought,14
bruchion,1
bructeri,1
brunswick,2
brutal,6
brute,1
brutish,1
brutus,1
btica,2
buckler,3
bucklers,1
budzak,1
building,7
buildings,6
built,5
bulgaria,1
bulk,2
bull,1
bulls,1
bulwark,3
bulwarks,1
bunch,1
burden,7
burdens,4
burdensome,1
burgundians,3
burgundy,2
buried,5
burned,1
burning,1
