word,count
bible,2
biblion,1
bid,10
bidders,1
bidding,3
bids,1
big,1
bills,1
bind,2
binding,2
bird,2
birds,1
birth,1
bishop,2
bit,4
bite,3
bitter,1
bitterness,5
black,2
blackberry,3
blackbirds,2
blameably,1
blamed,1
blank,1
blarney,4
blaze,2
blenkinsops,1
bless,5
blessing,8
blessings,2
blest,4
blind,6
blinded,1
bliss,4
blockhead,1
blockheads,1
blood,5
bloody,1
bloodyminded,1
blooming,1
blossom,2
blotted,1
blow,11
blown,1
blows,2
blowzed,2
blue,2
blunted,1
blush,4
blushing,2
bluster,1
boarding,1
boast,4
boasting,1
body,10
bold,1
boldly,2
boldlymy,1
bolts,1
bond,4
bonds,1
bones,1
book,8
books,9
bookseller,1
boots,1
bore,4
born,2
borne,2
borrow,3
borrowed,1
bosom,6
bosomis,1
bottle,3
botts,1
bought,6
bounced,1
bound,2
bounties,1
bounty,2
bow,2
bowd,1
bowed,1
bower,1
bowl,2
box,8
boxes,1
boy,27
boynothing,1
boys,11
brave,8
braves,1
breach,4
bread,8
breadstitch,1
break,8
breakfast,6
breaking,1
breast,6
bred,5
breeding,12
breeze,1
brewing,1
bribing,1
bride,3
bridegrooms,1
brides,2
bridge,1
bright,5
brighten,2
brighter,2
brilliant,1
bring,22
bringing,2
brings,3
brink,1
britons,5
broached,3
broad,1
broke,4
broken,9
brother,9
brothers,3
brought,37
browbeat,1
brown,2
brush,1
brushing,1
brutality,1
buck,1
buckles,1
budge,1
buff,1
bugles,1
built,2
bully,1
bulwark,2
bundle,3
bundled,1
burchell,50
burchella,1
burchells,8
burdock,1
burdocks,1
buried,4
burlesqued,1
burn,2
burnt,2
burst,5
bursting,4
burthen,4
busied,1
business,26
bustle,1
busy,7
butler,11
butlers,1
butterfly,1
buy,6
buying,1
bye,2
cakes,1
calamities,10
calamity,2
calculated,1
calculation,1
called,34
calling,6
callous,1
calls,1
calm,7
calmly,1
campaign,1
candid,1
candidate,1
candle,2
candour,1
cannoti,1
cannotyes,1
canopy,1
canvas,2
cap,1
capable,3
capacious,1
capacity,3
capital,1
capitally,1
captain,5
captive,2
card,3
cards,2
care,20
career,1
carefuli,1
careless,2
cares,4
caresses,1
caressing,1
carol,1
carolina,4
carolld,1
carried,10
carries,1
carrol,1
carry,10
carrying,5
cart,2
cartesian,1
carving,2
case,9
cases,2
casesa,1
cast,4
catch,4
catching,3
catgut,3
cats,1
catskin,1
cattle,1
caught,8
caused,1
cautioned,1
cavete,1
cease,2
celebrated,3
celerity,1
cell,5
cement,1
cemented,1
censure,3
censured,1
censures,2
censuring,1
centaury,1
centinel,1
century,1
ceremonies,1
ceremony,7
chace,1
chained,1
chains,1
chair,3
chairs,3
chaise,2
chalked,1
challenge,4
chamber,2
chambermaid,1
chambre,3
champion,2
champions,2
change,13
changed,4
chaplain,9
chaplainright,1
chaplains,1
chapman,1
chapter,96
character,30
characteri,1
characters,5
charge,1
chariot,5
charitably,2
charity,1
charles,5
charm,4
charmed,2
charmer,1
charming,8
charms,6
chastise,1
chastised,1
chat,1
chatted,1
cheaper,1
chear,1
chearful,9
chearfulness,1
cheated,1
cheek,2
cheer,2
cheerd,1
cheerfully,1
cheerfulness,8
cheers,2
cherubs,1
chickasaw,1
chide,1
chief,3
chiefly,3
child,55
childhood,1
children,47
childs,2
childto,1
childyes,1
chimneypiece,1
chirrups,1
chit,1
chits,1
choice,5
choicehow,1
choosing,1
chorus,1
chose,4
christian,2
christmas,1
chronicle,1
chubby,1
church,21
churchyard,1
chuse,5
circle,2
circles,1
circulate,1
circumspection,2
circumspectionthis,1
circumstance,10
circumstanced,1
circumstances,21
circumstantial,1
cities,1
citizens,1
city,6
civil,1
civilities,1
civility,1
clad,2
claim,1
claims,2
clamour,2
clanking,2
claspd,1
clasped,3
clasps,1
clear,1
cleared,1
clearing,1
clemency,1
clergy,1
clergyman,2
cleverly,1
climbed,1
cloathed,2
cloaths,14
clock,1
close,3
closed,4
closetted,1
cloth,4
clung,1
coach,7
coal,2
coarse,1
coarser,1
coat,4
coblers,1
cock,2
cocked,1
cocking,1
cockles,1
coeval,2
coffeehouse,1
coffin,1
coin,1
coiner,1
cold,7
colin,1
collect,1
collected,2
collecting,2
college,1
colonel,2
colour,1
colouring,1
colours,4
colt,6
combination,1
combinations,2
comedians,1
comfort,27
comfortable,2
comfortably,3
comforted,3
comforter,1
comforts,2
comical,2
coming,6
command,3
commanded,1
commanding,1
commands,1
commencing,2
commendable,1
commendation,1
commended,2
commerce,2
commercial,1
commission,7
commissioned,1
commit,2
committed,2
common,13
commonwealths,1
commune,1
communicate,1
communicated,5
communicating,1
community,2
compact,4
companies,1
companion,16
companions,8
company,71
companys,1
compared,5
compassion,6
compel,1
competence,4
compiling,1
complain,2
complaint,1
complaints,1
complaisance,1
compleated,1
complete,3
completely,4
completing,1
completion,1
complexion,3
compliance,4
complicated,2
complied,8
compliment,2
compliments,4
comply,4
complying,2
composing,1
composition,4
compositions,1
composure,6
comprehend,2
concatenation,1
conceal,3
conceit,1
conceive,2
conceived,3
concern,4
concerned,1
concerns,3
concert,4
concertjust,1
concession,1
concessions,1
concluded,5
concluding,5
conclusion,4
concurrence,1
condemn,3
condemned,2
condemning,1
condescend,2
condescended,2
condescending,1
condescension,2
conditions,1
condole,1
condolence,1
conduct,14
conductor,2
confer,3
conference,2
conferences,1
confess,7
confessed,1
confest,1
confidence,3
confident,2
confidently,1
confine,1
confined,3
confinement,4
confirmation,1
confirmed,2
conflagration,1
conform,1
confounded,1
confront,1
confusion,6
congratulate,3
congregation,1
congreve,1
conjecture,3
conjectured,2
conjectures,1
conjecturing,1
connexion,2
connoiseur,1
connoscento,1
conquer,1
conquered,1
conquest,3
conscience,6
conscious,1
consciousness,2
consent,6
consented,3
consenting,2
consequence,5
consequences,7
considered,4
consisted,6
consisting,2
consolation,7
consolations,3
console,1
consoled,1
consoling,1
conspiracies,1
conspire,1
constancy,2
constant,2
constantly,1
consternation,1
constitution,8
constrained,1
constraint,1
consultation,2
consumate,1
consumed,2
consummated,1
contained,1
contaminated,3
contamination,2
contemplation,1
contempt,14
contemptable,1
contemptible,3
contend,1
content,5
contented,3
contentment,1
contents,2
contest,1
contiguous,1
continent,1
contingent,1
continually,2
continuance,6
continue,7
continued,59
continues,1
continuing,4
contract,1
contracted,1
contradict,2
contraries,1
contrary,5
contrast,2
contrasted,1
contribute,5
contributed,9
contributing,1
contrition,1
contrivance,1
contrivances,1
contriver,1
contriving,1
controversy,9
convenience,2
conveniencies,1
convenient,2
conveniently,3
convents,1
conversation,29
converse,2
conversed,1
converted,1
converting,1
converts,2
conveyance,1
conviction,1
convicts,1
convince,6
convinced,8
convulsion,1
convulsive,1
cook,2
cookery,1
cooking,1
cooks,1
cool,1
cooled,1
cope,2
copied,1
coping,1
copper,4
coppers,1
copy,3
coquet,2
cordial,1
cordials,1
cords,1
cork,1
corn,1
corner,3
cornsthe,1
cornwall,2
correct,2
correction,2
corrector,1
corroding,1
corrupt,2
cosmogony,3
cottage,1
couch,2
coughing,1
council,4
counsellors,1
count,1
countenance,4
counter,1
counteracted,1
counterfeit,1
counterfeiting,1
countermanded,1
countess,1
countries,1
country,42
countryay,1
county,1
coup,1
couple,10
courage,5
courageous,2
court,1
courtiers,1
courting,2
courts,2
courtship,1
courtshipvery,1
cousin,5
cousins,1
cover,3
covered,1
covers,1
coward,3
cowardice,3
cowardly,1
cracked,1
crackling,1
create,1
created,1
creation,6
creature,9
creatures,4
credit,1
creditors,1
credulity,1
credulous,1
creolian,1
crew,1
cribbage,1
cricket,1
cried,218
cries,4
crime,8
crimes,3
criminal,1
crimson,1
cripse,3
cripses,1
crisp,1
cross,5
crowd,4
crowds,3
crown,2
crowned,2
cruel,3
cruellest,1
cruelty,6
crumbs,1
crush,1
crusoe,1
crusoes,1
cryd,3
crying,2
cudgel,1
culpable,2
cunning,6
cunninger,2
cupids,1
curate,1
cure,2
cured,1
cures,1
curiosities,1
curiosity,8
current,1
curs,1
curse,3
curses,2
cursory,1
curst,2
curtailing,1
curtesy,3
custards,1
custody,1
custom,1
customer,1
customers,2
cut,10
cutlers,1
cutting,5
cyderpress,1
daily,2
dale,1
damp,4
damped,3
damsel,2
dance,3
danced,2
dancers,1
dances,4
danger,6
dangerous,4
dangerously,2
dangers,2
dank,1
dark,4
darken,1
darkest,1
darling,8
darlings,1
daughter,67
daughterhere,1
daughterno,1
daughters,57
daunted,1
day,79
dayi,1
daylabourer,1
daylight,1
days,29
dead,6
deadthe,1
deafen,1
deal,11
dealings,4
deals,1
dealt,2
dear,59
dearer,2
dearest,10
dearfor,1
dearloved,1
death,20
debarred,1
debate,2
debated,2
debates,1
debauched,1
debaucheries,2
debauchery,1
debilitate,1
deborah,8
debt,1
debtor,2
debtors,1
debts,2
decay,3
deceit,1
deceive,6
deceived,11
decency,1
decent,2
decently,1
deception,2
declaim,1
declamation,1
declaration,2
declarationyes,1
declare,2
declared,4
declares,1
declaring,1
decline,2
declined,2
declining,4
decorated,1
decorums,1
decoy,2
decoys,1
dedicated,1
dedication,1
deep,2
deepmouthed,1
defeat,4
defect,2
defects,4
defence,6
defended,2
defender,2
deficiencies,1
deficient,1
deforming,1
defray,1
