First_Work,Late_Edmund_Burke,Late_Edward_Gibbon,Late_Fanny_Burney,Late_Oliver_Goldsmith,Late_Samuel_Johnson
Late_Edmund_Burke,0.0,0.025,0.038,0.031,0.032
Late_Edward_Gibbon,0.025,0.0,0.04,0.032,0.031
Late_Fanny_Burney,0.038,0.04,0.0,0.033,0.041
Late_Oliver_Goldsmith,0.031,0.032,0.033,0.0,0.035
Late_Samuel_Johnson,0.032,0.031,0.041,0.035,0.0
