First_Work,Shakespeare1,Shakespeare2,Shakespeare3,Shakespeare4,Shakespeare5
Shakespeare1,0.0,0.055,0.062,0.049,0.061
Shakespeare2,0.055,0.0,0.066,0.052,0.063
Shakespeare3,0.062,0.066,0.0,0.063,0.072
Shakespeare4,0.049,0.052,0.063,0.0,0.057
Shakespeare5,0.061,0.063,0.072,0.057,0.0
