First_Work,Late_Edmund_Burke,Late_Edward_Gibbon,Late_Fanny_Burney,Late_Oliver_Goldsmith,Late_Samuel_Johnson
Early_Ben_Jonson,0.043,0.045,0.048,0.042,0.046
Early_Christopher_Marlowe,0.062,0.063,0.067,0.063,0.064
Early_Edmund_Spenser,0.036,0.035,0.043,0.036,0.037
Early_Francis_Bacon,0.024,0.025,0.038,0.029,0.028
Early_John_Donne,0.049,0.049,0.054,0.048,0.05
