First_Work,Shakespeare1,Shakespeare2,Shakespeare3,Shakespeare4,Shakespeare5
Late_Edmund_Burke,0.047,0.054,0.059,0.046,0.058
Late_Edward_Gibbon,0.047,0.055,0.059,0.048,0.059
Late_Fanny_Burney,0.052,0.058,0.063,0.05,0.063
Late_Oliver_Goldsmith,0.046,0.052,0.059,0.044,0.058
Late_Samuel_Johnson,0.047,0.056,0.059,0.049,0.059
