First_Work,Early_Ben_Jonson,Early_Christopher_Marlowe,Early_Edmund_Spenser,Early_Francis_Bacon,Early_John_Donne
Early_Ben_Jonson,0.0,0.067,0.045,0.042,0.056
Early_Christopher_Marlowe,0.067,0.0,0.061,0.061,0.067
Early_Edmund_Spenser,0.045,0.061,0.0,0.031,0.043
Early_Francis_Bacon,0.042,0.061,0.031,0.0,0.043
Early_John_Donne,0.056,0.067,0.043,0.043,0.0
