word,Late_Edmund_Burke,Late_Fanny_Burney,Late_Edward_Gibbon,Late_Oliver_Goldsmith,Shakespeare1,Early_Francis_Bacon,Shakespeare2,Early_Christopher_Marlowe,Shakespeare3,Shakespeare4,Late_Samuel_Johnson,Shakespeare5,Early_Edmund_Spenser,Early_Ben_Jonson,Early_John_Donne
absurd,0.00021180083661330462,8.418217021634818e-05,2.6198242097955228e-05,0.0001380071763731714,0.0,0.00014082193066866948,0.0,0.0,0.0,0.0,0.0,0.00015770383220312253,0.0,4.5892611289582376e-05,0.0
absurdities,1.7650069717775385e-05,2.8060723405449393e-05,0.0,0.0,0.0,2.347032177811158e-05,0.0,0.0,0.0,0.0,0.0004862630683199611,0.0,0.0,4.5892611289582376e-05,0.0
absurdity,0.0001235504880244277,2.8060723405449393e-05,1.3099121048977614e-05,0.0001380071763731714,0.0,9.388128711244632e-05,0.0,9.528346831824679e-05,0.0,0.0,0.0004862630683199611,0.0,0.0,9.178522257916475e-05,0.0
abundance,1.7650069717775385e-05,0.0,1.3099121048977614e-05,4.600239212439047e-05,0.00010281719103434094,4.694064355622316e-05,0.0,9.528346831824679e-05,0.0,0.0,0.0,0.0,0.0,4.5892611289582376e-05,0.00011696818465377417
abundant,3.530013943555077e-05,2.8060723405449393e-05,0.0,0.0,0.0,4.694064355622316e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5892611289582376e-05,0.00011696818465377417
abundantly,7.060027887110154e-05,0.0,6.549560524488807e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012156576707999027,0.0,9.583133684714902e-05,0.0,0.00019494697442295697
abuse,0.0007413029281465662,5.6121446810898786e-05,0.0002619824209795523,9.200478424878094e-05,0.00010281719103434094,4.694064355622316e-05,8.517887563884156e-05,0.0,0.0,0.00010349824052991099,0.0,7.885191610156126e-05,0.0,0.0001835704451583295,3.898939488459139e-05
abused,0.00019415076689552923,5.6121446810898786e-05,0.00018338769468568658,0.0,0.0,2.347032177811158e-05,0.00017035775127768313,0.0,0.00019611688566385565,0.0,0.0,0.0,0.0,9.178522257916475e-05,0.0
abusedas,1.7650069717775385e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abuses,0.00045890181266216,0.0,1.3099121048977614e-05,0.0,0.0,7.041096533433474e-05,8.517887563884156e-05,0.0,0.0,0.0,0.0,7.885191610156126e-05,9.583133684714902e-05,4.5892611289582376e-05,3.898939488459139e-05
abusive,7.060027887110154e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.178522257916475e-05,0.0
abyss,1.7650069717775385e-05,0.0,3.929736314693284e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accede,5.2950209153326155e-05,2.8060723405449393e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accept,7.060027887110154e-05,0.0003647894042708421,0.00023578417888159704,0.0003220167448707333,0.0,7.041096533433474e-05,0.0,0.0,9.805844283192783e-05,0.00010349824052991099,0.0,0.0,0.0,4.5892611289582376e-05,0.0004288833437305053
acceptable,5.2950209153326155e-05,0.0,2.6198242097955228e-05,0.0,0.0,7.041096533433474e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5892611289582376e-05,0.00023393636930754835
acceptall,1.7650069717775385e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acceptance,3.530013943555077e-05,2.8060723405449393e-05,1.3099121048977614e-05,9.200478424878094e-05,0.0,2.347032177811158e-05,0.0,0.0,0.0,0.00010349824052991099,0.0,0.0,0.0,0.0,0.0
accepted,8.825034858887692e-05,0.0003367286808653927,0.0003012797841264851,4.600239212439047e-05,0.0,7.041096533433474e-05,0.0,9.528346831824679e-05,0.0,0.0,0.0,0.0,0.0,0.0001835704451583295,0.00019494697442295697
accepting,1.7650069717775385e-05,0.00011224289362179757,1.3099121048977614e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.898939488459139e-05
access,1.7650069717775385e-05,0.00011224289362179757,3.929736314693284e-05,0.0,0.0,7.041096533433474e-05,0.0,0.0,0.0,0.000310494721589733,0.00012156576707999027,7.885191610156126e-05,0.0,0.0,3.898939488459139e-05
accessible,1.7650069717775385e-05,2.8060723405449393e-05,5.2396484195910455e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024313153415998054,0.0,0.0,4.5892611289582376e-05,0.0
accession,5.2950209153326155e-05,0.0,0.0002881806630775075,0.0,0.0,0.0001173516088905579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.178522257916475e-05,0.0
accessions,3.530013943555077e-05,0.0,0.0,0.0,0.0,2.347032177811158e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accessory,1.7650069717775385e-05,0.0,2.6198242097955228e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accident,3.530013943555077e-05,0.0003647894042708421,9.169384734284329e-05,0.0003220167448707333,0.00010281719103434094,7.041096533433474e-05,0.0,0.0,9.805844283192783e-05,0.000310494721589733,0.00024313153415998054,0.00023655574830468382,0.0,0.00013767783386874714,0.0002729257641921397
accidental,1.7650069717775385e-05,8.418217021634818e-05,0.00010479296839182091,9.200478424878094e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0006078288353999514,7.885191610156126e-05,0.0,0.0,0.0
accidentally,5.2950209153326155e-05,0.0002525465106490445,3.929736314693284e-05,0.0001380071763731714,0.0,2.347032177811158e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accidents,7.060027887110154e-05,0.0,2.6198242097955228e-05,0.00018400956849756188,0.00020563438206868187,7.041096533433474e-05,0.0,9.528346831824679e-05,0.0,0.0,0.00012156576707999027,7.885191610156126e-05,0.0,0.0,0.00023393636930754835
accommodated,3.530013943555077e-05,0.0,0.0,4.600239212439047e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00012156576707999027,0.0,0.0,0.0,0.0
accommodating,1.7650069717775385e-05,2.8060723405449393e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012156576707999027,0.0,0.0,0.0,0.0
accommodation,0.00019415076689552923,0.00014030361702724697,3.929736314693284e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.898939488459139e-05
accompanied,7.060027887110154e-05,0.00028060723405449393,0.0002881806630775075,9.200478424878094e-05,0.0,2.347032177811158e-05,0.0,0.0,9.805844283192783e-05,0.0,0.0,0.0,0.0,4.5892611289582376e-05,0.00015595757953836556
accompany,1.7650069717775385e-05,0.00014030361702724697,2.6198242097955228e-05,4.600239212439047e-05,0.0,2.347032177811158e-05,0.0,0.0,0.0,0.00010349824052991099,0.0,0.0,0.0,4.5892611289582376e-05,0.00019494697442295697
accomplice,3.530013943555077e-05,0.0,6.549560524488807e-05,0.0,0.0,2.347032177811158e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5892611289582376e-05,0.0
accomplices,1.7650069717775385e-05,0.0,2.6198242097955228e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.898939488459139e-05
accomplish,7.060027887110154e-05,2.8060723405449393e-05,3.929736314693284e-05,0.0,0.0,0.0,0.0,0.0,9.805844283192783e-05,0.0,0.0,0.0,0.0,0.0,0.0
accomplished,8.825034858887692e-05,2.8060723405449393e-05,7.859472629386568e-05,0.0,0.0,0.00016429225244678105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023393636930754835
accord,1.7650069717775385e-05,8.418217021634818e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010349824052991099,0.0,7.885191610156126e-05,0.00028749401054144706,0.0,0.0
account,0.0011472545316554,0.0011224289362179757,0.0002619824209795523,0.0009200478424878093,0.0,0.0007745206186776821,8.517887563884156e-05,0.0005717008099094807,0.00019611688566385565,0.000310494721589733,0.00024313153415998054,7.885191610156126e-05,0.0007666506947771922,0.0003212482790270766,0.00038989394884591394
accountable,1.7650069717775385e-05,2.8060723405449393e-05,2.6198242097955228e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accountableand,1.7650069717775385e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accountant,1.7650069717775385e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accountantgeneral,1.7650069717775385e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accountants,0.0001235504880244277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accounted,1.7650069717775385e-05,2.8060723405449393e-05,0.0,0.0,0.0,7.041096533433474e-05,0.0,0.0,0.0,0.0,0.0,7.885191610156126e-05,0.0,0.0,3.898939488459139e-05
accountif,1.7650069717775385e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accounting,7.060027887110154e-05,0.0,0.0,0.0,0.0,7.041096533433474e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accounts,0.0004765518823799354,0.00011224289362179757,1.3099121048977614e-05,0.00023001196062195234,0.0,9.388128711244632e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5892611289582376e-05,3.898939488459139e-05
accoutredand,1.7650069717775385e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accrue,3.530013943555077e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.583133684714902e-05,0.0,0.0
accumulate,5.2950209153326155e-05,0.0,0.0,9.200478424878094e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00012156576707999027,0.0,0.0,0.0,0.0
accumulated,0.00021180083661330462,5.6121446810898786e-05,5.2396484195910455e-05,9.200478424878094e-05,0.0,2.347032177811158e-05,0.0,0.0,0.0,0.0,0.00024313153415998054,0.0,0.0,0.0,0.0
accumulating,3.530013943555077e-05,2.8060723405449393e-05,0.0,0.0,0.0,2.347032177811158e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accumulation,3.530013943555077e-05,0.0,0.0,0.0001380071763731714,0.0,2.347032177811158e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accuracy,3.530013943555077e-05,0.0,0.00013099121048977614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024313153415998054,0.0,0.0,0.0,0.0
accurate,5.2950209153326155e-05,5.6121446810898786e-05,7.859472629386568e-05,0.0,0.0,7.041096533433474e-05,0.0,0.0,9.805844283192783e-05,0.0,0.0,0.0,0.0,0.0,0.0
accurately,1.7650069717775385e-05,0.0,5.2396484195910455e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012156576707999027,0.0,0.0,0.0,0.0
accusation,7.060027887110154e-05,2.8060723405449393e-05,6.549560524488807e-05,0.0,0.0,0.00016429225244678105,0.0,0.0,0.0,0.000310494721589733,0.0,0.0,9.583133684714902e-05,0.0,3.898939488459139e-05
accuse,3.530013943555077e-05,0.0,3.929736314693284e-05,4.600239212439047e-05,0.0,4.694064355622316e-05,8.517887563884156e-05,9.528346831824679e-05,0.00019611688566385565,0.00020699648105982198,0.00012156576707999027,7.885191610156126e-05,0.0,9.178522257916475e-05,0.00019494697442295697
accused,0.00022945090633108,0.00014030361702724697,0.00017028857363670898,4.600239212439047e-05,0.0,9.388128711244632e-05,0.0,9.528346831824679e-05,0.0,0.00010349824052991099,0.00012156576707999027,0.0,0.0,0.0,3.898939488459139e-05
accuser,5.2950209153326155e-05,2.8060723405449393e-05,1.3099121048977614e-05,0.0,0.0,4.694064355622316e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accusers,1.7650069717775385e-05,0.0,2.6198242097955228e-05,0.0,0.0,0.0,8.517887563884156e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accuses,1.7650069717775385e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accusing,1.7650069717775385e-05,0.0,0.0,0.0,0.0,2.347032177811158e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accustomed,1.7650069717775385e-05,0.00022448578724359514,0.00032747802622444034,0.0,0.0,9.388128711244632e-05,0.0,0.0,0.0,0.0,0.00024313153415998054,0.0,0.0,9.178522257916475e-05,3.898939488459139e-05
achieved,1.7650069717775385e-05,0.0,0.00010479296839182091,0.0,0.0,7.041096533433474e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5892611289582376e-05,0.0
acknowledge,0.0001235504880244277,0.00022448578724359514,0.00015718945258773136,4.600239212439047e-05,0.00010281719103434094,9.388128711244632e-05,8.517887563884156e-05,0.0,0.0,0.00020699648105982198,0.0,0.0,0.0,4.5892611289582376e-05,0.00023393636930754835
acknowledged,0.00017650069717775385,0.00016836434043269636,0.0008776411102815002,4.600239212439047e-05,0.0,4.694064355622316e-05,8.517887563884156e-05,0.0,0.0,0.00010349824052991099,0.00024313153415998054,0.0,0.0,4.5892611289582376e-05,3.898939488459139e-05
acknowledging,1.7650069717775385e-05,2.8060723405449393e-05,2.6198242097955228e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5892611289582376e-05,0.0
acknowledgment,7.060027887110154e-05,0.0,1.3099121048977614e-05,0.0,0.0,2.347032177811158e-05,0.0,0.0,0.0,0.0,0.00012156576707999027,0.0,0.0,0.0,7.797878976918278e-05
acompter,1.7650069717775385e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aconter,1.7650069717775385e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acquaint,3.530013943555077e-05,0.0003928501276762915,1.3099121048977614e-05,0.0,0.0,2.347032177811158e-05,0.00017035775127768313,0.0,9.805844283192783e-05,0.000310494721589733,0.0,7.885191610156126e-05,0.0,9.178522257916475e-05,3.898939488459139e-05
acquaintance,0.00010590041830665231,0.001431096893677919,1.3099121048977614e-05,0.0005520287054926856,0.00010281719103434094,9.388128711244632e-05,8.517887563884156e-05,9.528346831824679e-05,0.0,0.0,0.00024313153415998054,0.0,9.583133684714902e-05,9.178522257916475e-05,7.797878976918278e-05
acquainted,0.00019415076689552923,0.0008979431489743806,0.00018338769468568658,0.0005060263133682952,0.0,0.00014082193066866948,0.0,0.0,9.805844283192783e-05,0.0,0.00036469730123997083,0.0,0.0,0.00013767783386874714,3.898939488459139e-05
acquiesce,1.7650069717775385e-05,0.0,2.6198242097955228e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acquiescence,7.060027887110154e-05,0.0,1.3099121048977614e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036469730123997083,0.0,0.0,0.0,3.898939488459139e-05
acquiesces,1.7650069717775385e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acquiescing,1.7650069717775385e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acquire,5.2950209153326155e-05,5.6121446810898786e-05,0.00010479296839182091,9.200478424878094e-05,0.00010281719103434094,4.694064355622316e-05,0.0,0.0,0.0,0.0,0.0,7.885191610156126e-05,0.0,0.0,0.0
acquired,0.00019415076689552923,0.00022448578724359514,0.0006942534155958135,9.200478424878094e-05,0.0,0.00014082193066866948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.797878976918278e-05
acquiring,5.2950209153326155e-05,2.8060723405449393e-05,3.929736314693284e-05,0.0,0.0,2.347032177811158e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acquisition,7.060027887110154e-05,2.8060723405449393e-05,9.169384734284329e-05,0.0,0.00010281719103434094,0.0,0.0,0.0,0.0,0.0,0.00012156576707999027,0.0,0.0,0.0,0.0
acquisitions,7.060027887110154e-05,2.8060723405449393e-05,2.6198242097955228e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024313153415998054,0.0,0.0,0.0,0.0
acquittal,5.2950209153326155e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acquittance,5.2950209153326155e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.805844283192783e-05,0.0,0.0,7.885191610156126e-05,0.0,0.0,0.0
acquitted,8.825034858887692e-05,0.0,1.3099121048977614e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.898939488459139e-05
acrimony,1.7650069717775385e-05,0.0,0.0,9.200478424878094e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00024313153415998054,0.0,0.0,0.0,0.0
acta,1.7650069717775385e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acted,0.0003706514640732831,5.6121446810898786e-05,0.00014409033153875374,0.0002760143527463428,0.0,0.0,0.0,0.00019056693663649358,0.0,0.00010349824052991099,0.00036469730123997083,7.885191610156126e-05,0.0,0.0002753556677374943,3.898939488459139e-05
acting,0.00015885062745997846,5.6121446810898786e-05,0.0,0.00018400956849756188,0.0,9.388128711244632e-05,0.0,0.0,0.0,0.0,0.0,7.885191610156126e-05,0.0,4.5892611289582376e-05,0.0
action,0.00010590041830665231,0.00011224289362179757,0.0004715683577631941,0.0,0.00020563438206868187,0.0004694064355622316,8.517887563884156e-05,0.00019056693663649358,0.0,0.00010349824052991099,0.003160709944079747,0.0007885191610156126,0.0,0.0002753556677374943,0.0008187772925764192
actions,8.825034858887692e-05,0.00014030361702724697,0.0002619824209795523,9.200478424878094e-05,0.00010281719103434094,0.0006336986880090126,0.0,0.0,0.0,0.000310494721589733,0.0010940919037199124,0.00015770383220312253,0.0,4.5892611289582376e-05,0.00035090455396132253
active,0.00028240111548440616,0.00019642506383814575,0.0005894604472039926,4.600239212439047e-05,0.0,0.00014082193066866948,0.0,0.0,0.0,0.0,0.0,0.0,9.583133684714902e-05,9.178522257916475e-05,0.00015595757953836556
activity,0.00019415076689552923,2.8060723405449393e-05,0.00015718945258773136,0.0,0.0,9.388128711244632e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5892611289582376e-05,0.0
