First_Work,Shakespeare1,Shakespeare2,Shakespeare3,Shakespeare4,Shakespeare5
Early_Ben_Jonson,0.266,0.288,0.195,0.339,0.226
Early_Christopher_Marlowe,0.239,0.243,0.191,0.242,0.183
Early_Edmund_Spenser,0.323,0.334,0.268,0.341,0.27
Early_Francis_Bacon,0.262,0.302,0.217,0.363,0.286
Early_John_Donne,0.387,0.405,0.319,0.398,0.324
