First_Work,Shakespeare1,Shakespeare2,Shakespeare3,Shakespeare4,Shakespeare5
Late_Edmund_Burke,0.193,0.22,0.147,0.273,0.201
Late_Edward_Gibbon,0.128,0.134,0.107,0.163,0.127
Late_Fanny_Burney,0.186,0.213,0.146,0.272,0.172
Late_Oliver_Goldsmith,0.266,0.304,0.205,0.382,0.234
Late_Samuel_Johnson,0.213,0.185,0.178,0.21,0.185
